iter	Passed	Remaining
609	14296	79449
610	14318	79418
611	14338	79378
612	14361	79352
613	14382	79313
614	14400	79258
615	14424	79241
616	14445	79205
617	14464	79158
618	14489	79142
619	14514	79129
620	14538	79109
621	14564	79100
622	14589	79084
623	14613	79061
624	14636	79039
625	14655	78991
626	14676	78954
627	14700	78935
628	14721	78897
629	14741	78854
630	14768	78851
631	14788	78810
632	14809	78773
633	14834	78757
634	14854	78715
635	14876	78685
636	14898	78657
637	14920	78623
638	14940	78585
639	14964	78565
640	14986	78530
641	15007	78494
642	15030	78471
643	15051	78435
644	15072	78402
645	15095	78377
646	15115	78333
647	15138	78310
648	15161	78282
649	15181	78243
650	15200	78198
651	15234	78226
652	15254	78186
653	15275	78151
654	15296	78116
655	15315	78072
656	15335	78031
657	15355	77989
658	15377	77963
659	15397	77921
660	15417	77882
661	15439	77852
662	15460	77817
663	15482	77784
664	15505	77759
665	15523	77712
666	15545	77678
667	15566	77647
668	15587	77610
669	15608	77574
670	15633	77562
671	15653	77523
672	15673	77481
673	15696	77460
674	15717	77425
675	15741	77405
676	15768	77398
677	15789	77364
678	15810	77328
679	15834	77307
680	15855	77275
681	15877	77244
682	15899	77218
683	15920	77181
684	15941	77146
685	15962	77114
686	15986	77093
687	16006	77053
688	16027	77018
689	16048	76984
690	16067	76945
691	16087	76904
692	16110	76879
693	16132	76851
694	16152	76811
695	16175	76786
696	16196	76754
697	16216	76717
698	16238	76687
699	16257	76644
700	16279	76611
701	16301	76586
702	16322	76550
703	16342	76513
704	16363	76477
705	16385	76452
706	16407	76423
707	16429	76393
708	16452	76369
709	16474	76338
710	16493	76298
711	16517	76275
712	16538	76245
713	16560	76215
714	16585	76198
715	16604	76159
716	16625	76126
717	16650	76109
718	16673	76084
719	16694	76051
720	16732	76097
721	16753	76061
722	16776	76041
723	16797	76004
724	16819	75978
725	16842	75955
726	16863	75920
727	16884	75885
728	16907	75863
729	16929	75834
730	16951	75804
731	16973	75780
732	16999	75767
733	17024	75752
734	17049	75736
735	17070	75703
736	17091	75669
737	17115	75653
738	17136	75619
739	17158	75590
740	17181	75564
741	17200	75522
742	17220	75485
743	17242	75457
744	17258	75405
745	17274	75350
746	17292	75303
747	17316	75287
748	17338	75256
749	17360	75227
750	17397	75266
751	17434	75303
752	17459	75285
753	17478	75247
754	17498	75207
755	17520	75181
756	17543	75154
757	17563	75119
758	17587	75100
759	17609	75071
760	17630	75038
761	17654	75018
762	17674	74984
763	17691	74934
764	17714	74912
765	17736	74880
766	17753	74833
767	17775	74806
768	17798	74783
769	17819	74748
770	17839	74714
771	17864	74696
772	17885	74666
773	17904	74625
774	17928	74604
775	17951	74580
776	17973	74552
777	17997	74534
778	18017	74499
779	18037	74463
780	18061	74444
781	18082	74411
782	18103	74379
783	18127	74360
784	18149	74331
785	18170	74299
786	18193	74278
787	18214	74245
788	18236	74218
789	18263	74208
790	18287	74188
791	18310	74167
792	18334	74148
793	18354	74110
794	18375	74079
795	18398	74057
796	18419	74025
797	18440	73991
798	18463	73969
799	18484	73936
800	18506	73910
801	18533	73902
802	18557	73881
803	18593	73912
804	18617	73893
805	18641	73873
806	18665	73851
807	18701	73878
808	18724	73855
809	18746	73830
810	18767	73796
811	18790	73773
812	18812	73747
813	18833	73716
814	18855	73686
815	18877	73657
816	18913	73687
817	18941	73682
818	18966	73666
819	18988	73639
820	19018	73642
821	19044	73631
822	19073	73627
823	19096	73606
824	19119	73580
825	19143	73562
826	19164	73528
827	19187	73505
828	19212	73490
829	19235	73467
830	19257	73437
831	19286	73438
832	19310	73417
833	19333	73394
834	19357	73372
835	19381	73353
836	19406	73337
837	19428	73307
838	19449	73277
839	19472	73252
840	19493	73223
841	19520	73211
842	19551	73219
843	19590	73253
844	19619	73253
845	19640	73224
846	19661	73190
847	19684	73167
848	19706	73137
849	19727	73108
850	19751	73086
851	19771	73052
852	19793	73024
853	19817	73003
854	19841	72983
855	19867	72971
856	19889	72942
857	19912	72920
858	19942	72921
859	19973	72927
860	20000	72918
861	20022	72889
862	20043	72857
863	20063	72822
864	20086	72800
865	20106	72765
866	20126	72728
867	20153	72719
868	20177	72697
869	20200	72677
870	20224	72654
871	20247	72630
872	20269	72602
873	20291	72575
874	20310	72538
875	20334	72516
876	20356	72488
877	20376	72455
878	20395	72418
879	20422	72405
880	20444	72377
881	20467	72355
882	20495	72348
883	20520	72331
884	20545	72317
885	20568	72291
886	20592	72270
887	20617	72255
888	20640	72231
889	20663	72207
890	20689	72194
891	20711	72166
892	20734	72140
893	20763	72136
894	20792	72135
895	20823	72139
896	20848	72121
897	20870	72094
898	20896	72079
899	20919	72055
900	20939	72022
901	20964	72004
902	20986	71978
903	21010	71955
904	21035	71938
905	21059	71918
906	21084	71901
907	21109	71883
908	21132	71860
909	21158	71844
910	21179	71816
911	21200	71785
912	21226	71771
913	21247	71740
914	21269	71712
915	21295	71697
916	21314	71659
917	21335	71628
918	21357	71602
919	21377	71569
920	21397	71535
921	21420	71511
922	21441	71479
923	21461	71446
924	21485	71423
925	21507	71397
926	21529	71371
927	21553	71349
928	21575	71323
929	21598	71298
930	21622	71278
931	21644	71249
932	21664	71217
933	21688	71196
934	21709	71164
935	21731	71136
936	21754	71115
937	21778	71093
938	21803	71076
939	21829	71061
940	21851	71034
941	21875	71014
942	21898	70991
943	21919	70960
944	21942	70934
945	21965	70912
946	21986	70882
947	22012	70867
948	22041	70862
949	22068	70850
950	22097	70845
951	22122	70829
952	22150	70821
953	22177	70810
954	22211	70820
955	22235	70800
956	22257	70771
957	22277	70740
958	22301	70719
959	22323	70691
960	22344	70661
961	22370	70644
962	22391	70617
963	22413	70588
964	22438	70570
965	22460	70543
966	22480	70509
967	22505	70491
968	22526	70463
969	22546	70429
970	22572	70413
971	22594	70387
972	22616	70360
973	22640	70340
974	22661	70308
975	22682	70277
976	22705	70254
977	22726	70222
978	22748	70197
979	22774	70182
980	22794	70150
981	22817	70125
982	22841	70104
983	22859	70066
984	22877	70025
985	22901	70004
986	22924	69980
987	22943	69946
988	22966	69921
989	22988	69893
990	23009	69865
991	23034	69845
992	23055	69817
993	23076	69786
994	23100	69765
995	23123	69741
996	23143	69709
997	23167	69687
998	23189	69660
999	23210	69632
1000	23234	69611
1001	23260	69596
1002	23287	69585
1003	23316	69578
1004	23340	69557
1005	23367	69544
1006	23391	69523
1007	23410	69487
1008	23431	69458
1009	23453	69430
1010	23474	69401
1011	23497	69378
1012	23520	69355
1013	23538	69315
1014	23562	69294
1015	23586	69275
1016	23607	69244
1017	23631	69222
1018	23652	69192
1019	23674	69165
1020	23694	69135
1021	23719	69116
1022	23740	69085
1023	23761	69057
1024	23786	69037
1025	23805	69004
1026	23826	68974
1027	23851	68956
1028	23872	68926
1029	23893	68897
1030	23918	68879
1031	23940	68851
1032	23961	68823
1033	23984	68800
1034	24006	68773
1035	24029	68749
1036	24055	68733
1037	24074	68698
1038	24099	68678
1039	24123	68658
1040	24146	68634
1041	24173	68622
1042	24197	68602
1043	24222	68583
1044	24246	68563
1045	24268	68537
1046	24293	68519
1047	24320	68505
1048	24342	68477
1049	24363	68449
1050	24383	68417
1051	24402	68382
1052	24424	68355
1053	24450	68341
1054	24474	68321
1055	24496	68293
1056	24533	68307
1057	24561	68298
1058	24590	68292
1059	24615	68273
1060	24643	68263
1061	24670	68251
1062	24720	68302
1063	24747	68287
1064	24769	68261
1065	24793	68240
1066	24814	68210
1067	24835	68181
1068	24857	68154
1069	24878	68124
1070	24894	68083
1071	24924	68076
1072	24945	68048
1073	24968	68023
1074	24994	68007
1075	25013	67974
1076	25039	67958
1077	25064	67939
1078	25089	67921
1079	25116	67906
1080	25135	67873
1081	25157	67847
1082	25179	67818
1083	25199	67787
1084	25220	67757
1085	25241	67727
1086	25263	67703
1087	25286	67677
1088	25307	67648
1089	25332	67630
1090	25355	67605
1091	25379	67586
1092	25402	67562
1093	25426	67539
1094	25448	67514
1095	25469	67485
1096	25490	67456
1097	25515	67436
1098	25536	67409
1099	25559	67384
1100	25583	67362
1101	25604	67334
1102	25626	67307
1103	25647	67277
1104	25670	67255
1105	25695	67236
1106	25719	67215
1107	25755	67224
1108	25808	67278
1109	25838	67272
1110	25882	67303
1111	25908	67286
1112	25936	67277
1113	25960	67254
1114	25984	67232
1115	26005	67205
1116	26026	67175
1117	26050	67152
1118	26075	67135
1119	26098	67110
1120	26122	67088
1121	26145	67063
1122	26166	67036
1123	26209	67063
1124	26233	67039
1125	26258	67021
1126	26279	66994
1127	26303	66972
1128	26330	66958
1129	26355	66938
1130	26380	66919
1131	26401	66889
1132	26422	66861
1133	26445	66837
1134	26471	66820
1135	26497	66803
